# Age     d18Ow    d18Ow-   d18Ow+       RSL       RSL-       RSL+    Alt.Age1  Alt.Age2  Alt.Age3
114.5     0.14     0.03     0.25     -17.10      -4.12     -30.12       114.5   114.52   114.52
116       0.10    -0.01     0.21     -11.42       1.56     -24.44         116   116.02   116.02
117.5     0.05    -0.06     0.16      -5.45       7.54     -18.46       117.5   117.52   117.52
119       0.01    -0.10     0.12      -1.16      11.84     -14.16         119   119.01   119.01
121.438  -0.02    -0.13     0.09       2.20      15.20     -10.80       120.5   120.51   120.51
123.875  -0.05    -0.16     0.06       6.30      19.31      -6.69         122   122.01   122.01
126.313  -0.04    -0.15     0.07       4.91      17.92      -8.08       123.5   123.50   123.50
128.75    0.01    -0.10     0.12      -1.25      11.75     -14.66         125   125.00   125.00
131.188   0.25     0.14     0.40     -29.39     -16.43     -47.65       126.5   126.47   126.47
132.714   0.58     0.47     0.69     -68.43     -55.54     -81.54         128   127.95   127.95
133.786   0.72     0.61     0.93     -84.62     -71.75    -109.87       129.5   129.42   129.42
134.857   0.94     0.83     1.05    -111.46     -98.63    -124.63         131   130.90   130.90
135.929   1.06     0.95     1.17    -125.54    -112.73    -138.73       132.5   132.37   132.37
137       1.09     0.98     1.20    -128.94    -116.14    -142.14         134   133.84   133.84
138.071   1.08     0.97     1.19    -127.05    -114.25    -140.25       135.5   135.32   135.32
139.143   1.03     0.92     1.14    -121.41    -108.60    -134.60         137   136.79   136.79
140.214   0.99     0.88     1.10    -117.27    -104.45    -130.45       138.5   138.27   138.27
141.286   0.96     0.79     1.07    -113.29     -92.85    -126.46         140   139.74   139.74
142.357   0.92     0.70     1.03    -108.60     -82.57    -121.77       141.5   141.21   141.21
143.429   0.89     0.62     1.00    -105.02     -73.14    -118.18         143   142.69   142.69
144.5     0.88     0.61     0.99    -103.84     -71.92    -117.00       144.5   144.16   144.16
146       0.89     0.67     1.00    -105.02     -79.46    -118.18         146   145.64   145.64
147.5     0.96     0.74     1.07    -113.28     -87.13    -126.45       147.5   147.11   147.11
149       1.01     0.78     1.12    -118.79     -92.37    -131.97         149   149.24   149.24
150.5     1.02     0.80     1.13    -119.99     -94.96    -133.17       150.5   151.37   151.37
152       1.01     0.80     1.12    -118.94     -94.31    -132.12         152   153.50   153.50
153.5     0.95     0.75     1.06    -111.98     -89.18    -125.15       153.5   155.63   155.63
155       0.81     0.70     0.92     -95.63     -82.78    -108.78         155   157.76   157.76
156.5     0.65     0.54     0.76     -76.94     -64.06     -90.06       156.5   159.89   159.89
158       0.72     0.61     0.83     -85.45     -71.98     -98.58         158   160.87   160.87
159.5     0.76     0.59     0.87     -89.35     -69.17    -102.49       159.5   161.86   161.86
161       0.67     0.56     0.78     -79.08     -66.20     -92.20         161   162.84   162.84
162.5     0.67     0.56     0.78     -78.58     -65.65     -91.70       162.5   163.83   163.83
164       0.54     0.43     0.65     -64.06     -51.16     -77.16         164   164.81   164.81
165.5     0.44     0.33     0.55     -51.41     -38.49     -64.49       165.5   165.80   165.80
167       0.42     0.31     0.53     -49.53     -36.61     -62.61         167   166.78   166.78
168.5     0.49     0.38     0.60     -57.44     -44.53     -70.53       168.5   167.76   167.76
170       0.56     0.45     0.67     -66.06     -53.16     -79.16         170   168.75   168.75
171.5     0.65     0.54     0.76     -76.51     -63.63     -89.63       171.5   169.73   169.73
173       0.66     0.55     0.77     -77.72     -64.84     -90.84         173   170.72   170.72
174.5     0.62     0.51     0.73     -72.70     -59.81     -85.81       174.5   171.70   171.70
176       0.58     0.47     0.69     -67.91     -55.01     -81.01         176   172.69   172.69
177.5     0.57     0.46     0.68     -67.24     -54.35     -80.35       177.5   173.67   173.67
179       0.64     0.53     0.75     -75.06     -62.18     -88.18         179   175.97   175.97
180.5     0.70     0.59     0.81     -82.77     -69.90     -95.90       180.5   178.28   178.28
182       0.72     0.61     0.83     -85.09     -72.22     -98.22         182   180.58   180.58
183.5     0.73     0.62     0.84     -86.15     -73.28     -99.28       183.5   182.89   182.89
185       0.68     0.57     0.79     -80.33     -67.46     -93.46         185   185.19   185.19
186.5     0.62     0.51     0.73     -73.35     -60.46     -86.46       186.5   186.66   186.66
188       0.53     0.42     0.64     -63.07     -50.17     -76.17         188   188.14   188.14
189.5     0.40     0.29     0.51     -47.49     -34.57     -60.57       189.5   189.61   189.61
191       0.28     0.17     0.39     -33.15     -20.21     -46.21         191   191.08   191.08
192.5     0.20     0.09     0.31     -23.33     -10.37     -36.37       192.5   192.58   192.58
194       0.17     0.06     0.28     -19.59      -6.62     -32.62         194   194.07   194.07
195.5     0.11     0.00     0.22     -13.37      -0.39     -26.39       195.5   195.57   195.57
197       0.08    -0.03     0.19      -9.68       3.30     -22.70         197   197.07   197.07
198.5     0.14     0.03     0.25     -16.10      -3.13     -29.13       198.5   198.57   198.57
200       0.22     0.10     0.33     -26.24     -11.37     -39.28         200   200.06   200.06
201.5     0.22     0.09     0.33     -25.66     -11.07     -38.70       201.5   201.56   201.56
203       0.15     0.04     0.26     -17.55      -4.57     -30.57         203   203.06   203.06
204.5     0.13     0.02     0.24     -15.05      -2.08     -28.08       204.5   204.55   204.55
206       0.11     0.00     0.22     -12.85       0.13     -25.87         206   206.05   206.05
207.5     0.09    -0.02     0.20     -10.78       2.20     -23.80       207.5   207.55   207.55
209       0.08    -0.03     0.19      -9.53       3.46     -22.54         209   209.04   209.04
210.5     0.07    -0.04     0.18      -8.30       4.69     -21.31       210.5   210.54   210.54
212       0.05    -0.06     0.16      -5.54       7.45     -18.55         212   212.04   212.04
213.5     0.03    -0.08     0.14      -3.95       9.05     -16.95       213.5   213.54   213.54
215       0.03    -0.08     0.14      -3.54       9.45     -16.55         215   215.03   215.03
216.5     0.03    -0.08     0.14      -3.55       9.44     -16.56       216.5   216.53   216.53
218       0.05    -0.06     0.16      -6.06       6.93     -19.07         218   218.03   218.03
219.5     0.10    -0.01     0.21     -11.62       1.36     -24.64       219.5   219.52   219.52
221       0.14     0.03     0.25     -16.17      -3.19     -29.19         221   221.02   221.02
222.5     0.21     0.10     0.33     -24.47     -11.51     -39.04       222.5   222.52   222.52
224       0.46     0.35     0.57     -53.98     -41.07     -67.07         224   224.02   224.02
225.5     0.70     0.47     0.81     -83.15     -55.81     -96.27       225.5   225.51   225.51
227       0.68     0.48     0.79     -80.80     -57.17     -93.93         227   227.01   227.01
228.5     0.57     0.46     0.68     -67.59     -54.70     -80.70       228.5   228.51   228.51
230       0.53     0.41     0.64     -62.42     -48.53     -75.52         230   230.00   230.00
231.5     0.44     0.32     0.55     -52.26     -37.64     -65.34       231.5   231.50   231.50
233       0.23     0.12     0.34     -26.74     -13.78     -39.78         233   234.44   234.44
234.5     0.10    -0.01     0.21     -11.70       1.28     -24.72       234.5   237.81   237.81
236       0.08    -0.03     0.19      -9.38       3.60     -22.40         236   241.19   241.19
237.5     0.19     0.06     0.30     -22.16      -6.96     -35.19       237.5   242.26   242.26
239       0.22     0.11     0.33     -25.38     -12.42     -38.42         239   243.33   243.33
240.5     0.29     0.18     0.40     -33.69     -20.74     -46.74       240.5   244.40   244.40
242       0.40     0.29     0.51     -47.76     -34.83     -60.83         242   245.46   245.46
243.5     0.53     0.42     0.64     -61.97     -49.06     -75.06       243.5   246.53   246.53
245       0.70     0.59     0.81     -82.83     -69.96     -95.96         245   247.60   247.60
246.5     0.84     0.73     0.95     -98.66     -85.82    -111.82       246.5   249.02   249.02
248       0.90     0.79     1.01    -106.09     -93.25    -119.25         248   250.43   250.43
249.5     0.92     0.81     1.03    -108.11     -95.27    -121.27       249.5   251.85   251.85
251       0.89     0.69     1.00    -105.01     -81.14    -118.17         251   253.26   253.26
252.5     0.82     0.64     0.93     -96.41     -75.34    -109.56       252.5   254.68   254.68
254       0.76     0.59     0.87     -89.79     -69.76    -102.93         254   256.09   256.09
255.5     0.75     0.54     0.86     -88.48     -64.07    -101.61       255.5   257.51   257.51
257       0.77     0.48     0.88     -91.34     -56.28    -104.48         257   258.93   258.93
258.5     0.74     0.45     0.85     -86.89     -52.60    -100.02       258.5   260.34   260.34
260       0.71     0.45     0.82     -84.22     -53.29     -97.35         260   261.76   261.76
261.5     0.73     0.48     0.84     -86.36     -56.78     -99.49       261.5   263.17   263.17
263       0.77     0.50     0.88     -90.62     -59.51    -103.76         263   264.59   264.59
264.5     0.78     0.50     0.89     -92.11     -59.61    -105.25       264.5   266.00   266.00
266       0.77     0.50     0.88     -90.74     -58.85    -103.87         266   267.42   267.42
267.5     0.77     0.49     0.88     -90.54     -58.28    -103.68       267.5   268.83   268.83
269       0.80     0.49     0.91     -94.23     -58.48    -107.38         269   270.25   270.25
270.5     0.79     0.52     0.90     -93.69     -61.93    -106.83       270.5   271.67   271.67
272       0.70     0.57     0.81     -82.95     -67.25     -96.08         272   273.08   273.08
273.5     0.58     0.47     0.69     -68.65     -55.76     -81.76       273.5   274.50   274.50
275       0.57     0.46     0.68     -66.84     -53.95     -79.95         275   275.91   275.91
276.5     0.61     0.50     0.72     -72.07     -59.18     -85.18       276.5   277.33   277.33
278       0.60     0.47     0.71     -70.42     -54.99     -83.53         278   278.74   278.74
279.5     0.49     0.38     0.60     -57.80     -44.89     -70.89       279.5   280.16   280.16
281       0.36     0.25     0.47     -42.77     -29.84     -55.84         281   281.58   281.58
282.5     0.24     0.13     0.35     -27.74     -14.79     -40.79       282.5   283.00   283.00
284       0.15     0.04     0.26     -18.01      -5.03     -31.03         284   284.41   284.41
285.5     0.15     0.04     0.26     -17.61      -4.64     -30.64       285.5   285.83   285.83
287       0.14     0.03     0.25     -16.37      -3.40     -29.40         287   287.25   287.25
288.5     0.14     0.03     0.25     -16.88      -3.90     -29.90       288.5   288.67   288.67
290       0.23     0.12     0.34     -27.12     -14.16     -40.16         290   290.08   290.08
291.5     0.35     0.24     0.46     -41.02     -28.08     -54.08       291.5    291.5    291.5
293       0.40     0.29     0.51     -46.95     -34.02     -60.02         293      293      293
294.5     0.42     0.31     0.53     -49.62     -36.70     -62.70       294.5    294.5    294.5
296       0.47     0.36     0.58     -55.55     -42.64     -68.64         296      296      296
297.5     0.51     0.40     0.62     -59.66     -46.75     -72.75       297.5    297.5    297.5
299       0.52     0.41     0.63     -61.01     -48.10     -74.10         299      299      299
300.5     0.45     0.34     0.56     -53.54     -40.62     -66.62       300.5    300.5    300.5
302       0.36     0.25     0.47     -42.03     -29.10     -55.10         302      302      302
303.5     0.27     0.16     0.38     -32.30     -19.35     -45.35       303.5    303.5    303.5
305       0.25     0.14     0.36     -29.43     -16.47     -42.47         305      305      305
306.5     0.24     0.13     0.35     -28.88     -15.92     -41.92       306.5    306.5    306.5
308       0.25     0.14     0.36     -29.46     -16.50     -42.50         308      308      308
309.5     0.22     0.11     0.33     -25.37     -12.41     -38.41       309.5    309.5    309.5
311       0.16     0.05     0.27     -19.44      -6.47     -32.47         311      311      311
312.5     0.13     0.02     0.24     -15.90      -2.93     -28.93       312.5    312.5    312.5
314       0.14     0.03     0.25     -17.11      -4.13     -30.13         314      314      314
315.5     0.16     0.05     0.27     -18.86      -5.89     -31.89       315.5    315.5    315.5
317       0.18     0.07     0.29     -21.15      -8.18     -34.18         317      317      317
318.5     0.18     0.07     0.29     -21.61      -8.64     -34.64       318.5    318.5    318.5
320       0.18     0.07     0.29     -21.73      -8.76     -34.76         320      320      320
321.5     0.15     0.04     0.26     -17.16      -4.18     -30.18       321.5    321.5    321.5
323       0.07    -0.04     0.18      -8.19       4.80     -21.20         323      323      323
324.5     0.02    -0.09     0.13      -2.79      10.21     -15.79       324.5    324.5    324.5
326       0.01    -0.10     0.12      -1.08      11.92     -14.08         326      326      326
