India[132,6]    80.366   35.700  200 10
India[1,6]    72.000   26.565  200 10
India[200,6]    72.000   14.968  200 10
India[201,6]    76.131    8.551  200 10
India[216,6]    83.942   22.490  200 10
India[217,6]    92.101   23.560  200 10
India[33,6]    63.778   28.670  200 10
India[34,6]    80.222   28.670  200 10
India[35,6]    88.252   30.186  200 10
India[55,6]    76.745   20.355  200 10
India[56,6]    80.879   14.386  200 10
North_Africa[0,0]     0.000   26.565  200 10
North_Africa[104,0]     8.366   35.700  200 10
North_Africa[187,0]    16.390   16.171  200 10
North_Africa[188,0]    24.075   17.136  200 10
North_Africa[193,0]    11.942   22.490  200 10
North_Africa[194,0]    20.101   23.560  200 10
North_Africa[260,0]   -16.390   16.171  200 10
North_Africa[26,0]     8.222   28.670  200 10
North_Africa[261,0]   -11.942   22.490  200 10
North_Africa[262,0]     0.000   14.968  200 10
North_Africa[264,0]    -4.131    8.551  200 10
North_Africa[27,0]    16.252   30.186  200 10
North_Africa[28,0]    24.181   31.171  200 10
North_Africa[29,0]    32.065   31.657  200 10
North_Africa[46,0]    -8.222   28.670  200 10
North_Africa[47,0]     4.745   20.355  200 10
North_Africa[48,0]     8.879   14.386  200 10
North_Africa[5,0]     0.000   34.147  200 10
North_Africa[66,0]    -4.745   20.355  200 10
North_Africa[67,0]    -8.879   14.386  200 10
North_Africa[68,0]   -12.654    8.573  200 10
North_East_America[150,14]   -83.462   50.446  200 10
North_East_America[151,14]   -95.481   52.015  200 10
North_East_America[154,14]   -81.753   43.209  200 10
North_East_America[155,14]   -91.845   44.790  200 10
North_East_America[159,14]   -80.366   35.700  200 10
North_East_America[160,14]   -89.530   37.572  200 10
North_East_America[161,14]   -98.745   38.679  200 10
North_East_America[172,14]   -62.247   43.209  200 10
North_East_America[24,14]   -72.000   48.190  200 10
North_East_America[25,14]   -72.000   41.300  200 10
North_East_America[43,14]   -96.181   31.171  200 10
North_East_America[44,14]   -88.252   30.186  200 10
North_East_America[45,14]   -80.222   28.670  200 10
North_West_America[138,12]   -157.746   57.533  200 10
North_West_America[146,12]   -126.867   64.560  200 10
North_West_America[147,12]   -100.454   59.023  200 10
North_West_America[148,12]   -115.546   59.023  200 10
North_West_America[149,12]   -130.254   57.533  200 10
North_West_America[152,12]   -108.000   52.623  200 10
North_West_America[153,12]   -120.519   52.015  200 10
North_West_America[156,12]   -102.581   45.816  200 10
North_West_America[157,12]   -113.419   45.816  200 10
North_West_America[158,12]   -124.155   44.790  200 10
North_West_America[162,12]   -108.000   39.046  200 10
North_West_America[163,12]   -117.255   38.679  200 10
North_West_America[19,12]   -144.000   68.375  200 10
North_West_America[20,12]   -144.000   61.631  200 10
North_West_America[41,12]   -111.935   31.657  200 10
North_West_America[42,12]   -104.065   31.657  200 10
Siberia[105,9]   108.000   78.403  200 10
Siberia[106,9]   121.018   71.565  200 10
Siberia[107,9]    94.982   71.565  200 10
Siberia[108,9]   126.867   64.560  200 10
Siberia[109,9]   108.000   65.803  200 10
Siberia[110,9]    89.133   64.560  200 10
Siberia[111,9]   130.254   57.533  200 10
Siberia[112,9]   115.546   59.023  200 10
Siberia[113,9]   100.454   59.023  200 10
Siberia[114,9]    85.746   57.533  200 10
Siberia[133,9]   -166.982   71.565  200 10
Siberia[134,9]   166.982   71.565  200 10
Siberia[135,9]   -161.133   64.560  200 10
Siberia[136,9]   180.000   65.803  200 10
Siberia[137,9]   161.133   64.560  200 10
Siberia[13,9]   144.000   75.265  200 10
Siberia[139,9]   -172.454   59.023  200 10
Siberia[140,9]   157.746   57.533  200 10
Siberia[14,9]   144.000   68.375  200 10
Siberia[15,9]   144.000   61.631  200 10
Siberia[16,9]   144.000   54.934  200 10
Siberia[6,9]    72.000   75.265  200 10
Siberia[7,9]    72.000   68.375  200 10
Siberia[79,9]    49.018   71.565  200 10
Siberia[80,9]    54.867   64.560  200 10
Siberia[83,9]    58.254   57.533  200 10
Siberia[8,9]    72.000   61.631  200 10
South_Africa[173,3]    36.000  -14.968  200 10
South_Africa[174,3]    31.869   -8.551  200 10
